M,second,sonic,detach,von,thrid,uevon,uedetach
2.69,2.7705,3.5032,6.9294,7.2546,22.927,107.96,171.61
2.7,2.7923,3.5283,6.9875,7.3269,23.283,109.7,174.96
2.71,2.8142,3.5537,7.0461,7.4,23.644,111.84,178.37
2.72,2.8364,3.5792,7.1053,7.4739,24.01,114.02,181.84
2.73,2.8588,3.605,7.1649,7.5487,24.381,116.25,185.38
2.74,2.8814,3.6355,7.2251,7.6244,24.758,118.51,188.98
2.75,2.9043,3.6618,7.2859,7.7011,25.14,120.81,193.63
2.76,2.9274,3.6883,7.3472,7.7786,25.528,123.16,197.38
2.77,2.9507,3.715,7.409,7.857,25.922,125.55,201.2
2.78,2.9743,3.742,7.4714,7.9363,26.322,127.91,1000
2.79,2.9981,3.7739,7.5343,8.0165,26.727,130,1000
2.8,3.0221,3.8013,7.5978,8.0977,27.138,132.51,1000
2.81,3.0463,3.829,7.6618,8.1798,27.556,135.08,1000
2.82,3.0708,3.857,7.7265,8.2628,27.979,137.69,1000
2.83,3.0956,3.89,7.7916,8.3468,28.408,140.35,1000
2.84,3.1206,3.9184,7.8574,8.4318,28.844,143.05,1000
2.85,3.1458,3.9471,7.9238,8.5177,29.286,145.81,1000
2.86,3.1713,3.981,7.9907,8.6046,29.735,148.62,1000
2.87,3.197,4.0102,8.0582,8.6925,30.19,150.9,1000
2.88,3.223,4.0397,8.1264,8.7814,30.651,153.8,1000
2.89,3.2492,4.0694,8.1951,8.8713,31.119,156.75,1000
2.9,3.2757,4.1045,8.2644,8.9622,31.594,159.76,1000
2.91,3.3024,4.1347,8.3343,9.0541,32.076,162.82,1000
2.92,3.3294,4.1652,8.4049,9.1471,32.564,165.94,1000
2.93,3.3567,4.2012,8.476,9.241,33.06,169.11,1000
2.94,3.3842,4.2322,8.5478,9.3361,33.563,172.34,1000
2.95,3.4119,4.2635,8.6202,9.4322,34.073,175.63,1000
2.96,3.44,4.3004,8.6933,9.5293,34.59,178.27,1000
2.97,3.4683,4.3323,8.767,9.6275,35.114,181.66,1000
2.98,3.4968,4.3644,8.8413,9.7268,35.646,185.12,1000
2.99,3.5257,4.4022,8.9163,9.8272,36.186,188.64,1000
3,3.5548,4.4349,8.9919,9.9287,36.733,192.22,1000
3.01,3.5842,4.4679,9.0682,10.031,37.288,195.86,1000
3.02,3.6138,4.5067,9.1451,10.135,37.85,199.57,1000
3.03,3.6437,4.5402,9.2227,10.24,38.421,203.34,1000
3.04,3.6739,4.5797,9.301,10.346,39,1000,1000
3.05,3.7044,4.6138,9.3799,10.453,39.586,1000,1000
3.06,3.7352,4.6482,9.4596,10.561,40.182,1000,1000
3.07,3.7663,4.6887,9.5399,10.671,40.785,1000,1000
3.08,3.7976,4.7237,9.6209,10.782,41.397,1000,1000
3.09,3.8292,4.7648,9.7026,10.893,42.017,1000,1000
3.1,3.8611,4.8004,9.785,11.006,42.646,1000,1000
3.11,3.8933,4.8363,9.8681,11.121,43.284,1000,1000
3.12,3.9258,4.8785,9.9519,11.236,43.931,1000,1000
3.13,3.9586,4.9149,10.036,11.353,44.586,1000,1000
3.14,3.9917,4.9578,10.122,11.471,45.251,1000,1000
3.15,4.0251,4.9949,10.208,11.59,45.925,1000,1000
3.16,4.0588,5.0386,10.294,11.71,46.608,1000,1000
3.17,4.0928,5.0763,10.382,11.832,47.301,1000,1000
3.18,4.1271,5.1143,10.47,11.955,48.003,1000,1000
3.19,4.1618,5.159,10.559,12.079,48.715,1000,1000
3.2,4.1967,5.1977,10.649,12.205,49.437,1000,1000
3.21,4.2319,5.2431,10.739,12.332,50.169,1000,1000
3.22,4.2675,5.2824,10.83,12.46,50.91,1000,1000
3.23,4.3034,5.3286,10.922,12.59,51.662,1000,1000
3.24,4.3395,5.3686,11.015,12.721,52.424,1000,1000
3.25,4.3761,5.4155,11.109,12.853,53.196,1000,1000
3.26,4.4129,5.4562,11.203,12.987,53.979,1000,1000
3.27,4.4501,5.5039,11.298,13.122,54.773,1000,1000
3.28,4.4875,5.5452,11.394,13.258,55.577,1000,1000
3.29,4.5254,5.5937,11.491,13.396,56.393,1000,1000
3.3,4.5635,5.6357,11.588,13.535,57.219,1000,1000
3.31,4.602,5.685,11.687,13.676,58.056,1000,1000
3.32,4.6408,5.7277,11.786,13.818,58.905,1000,1000
3.33,4.68,5.7778,11.886,13.962,59.765,1000,1000
3.34,4.7195,5.8211,11.987,14.107,60.637,1000,1000
3.35,4.7593,5.8721,12.089,14.253,61.52,1000,1000
3.36,4.7995,5.9161,12.191,14.401,62.415,1000,1000
3.37,4.84,5.9679,12.294,14.551,63.323,1000,1000
3.38,4.8809,6.0126,12.399,14.702,64.242,1000,1000
3.39,4.9222,6.0652,12.504,14.854,65.173,1000,1000
3.4,4.9638,6.1107,12.61,15.008,66.117,1000,1000
3.41,5.0057,6.1641,12.717,15.164,67.074,1000,1000
3.42,5.048,6.2104,12.824,15.321,68.043,1000,1000
3.43,5.0907,6.2646,12.933,15.48,69.025,1000,1000
3.44,5.1338,6.3194,13.042,15.64,70.02,1000,1000
3.45,5.1772,6.3667,13.153,15.802,71.029,1000,1000
3.46,5.2209,6.4224,13.264,15.966,72.05,1000,1000
3.47,5.2651,6.4705,13.376,16.131,73.085,1000,1000
3.48,5.3096,6.527,13.489,16.298,74.134,1000,1000
3.49,5.3545,6.5758,13.603,16.466,75.196,1000,1000
3.5,5.3998,6.6332,13.718,16.637,76.272,1000,1000
3.51,5.4455,6.6829,13.834,16.808,77.363,1000,1000
3.52,5.4915,6.7411,13.951,16.982,78.467,1000,1000
3.53,5.538,6.7999,14.069,17.157,79.586,1000,1000
3.54,5.5848,6.8508,14.188,17.334,80.72,1000,1000
3.55,5.632,6.9105,14.307,17.513,81.868,1000,1000
3.56,5.6796,6.9621,14.428,17.693,83.031,1000,1000
3.57,5.7276,7.0227,14.55,17.876,84.21,1000,1000
3.58,5.776,7.0839,14.672,18.06,85.403,1000,1000
3.59,5.8249,7.1367,14.796,18.245,86.612,1000,1000
3.6,5.8741,7.1988,14.92,18.433,87.837,1000,1000
3.61,5.9237,7.2525,15.046,18.622,89.077,1000,1000
3.62,5.9737,7.3156,15.173,18.814,90.334,1000,1000
3.63,6.0242,7.3791,15.3,19.007,91.606,1000,1000
3.64,6.0751,7.4341,15.429,19.202,92.895,1000,1000
3.65,6.1263,7.4986,15.559,19.399,94.2,1000,1000
3.66,6.178,7.5544,15.689,19.597,95.522,1000,1000
3.67,6.2302,7.62,15.821,19.798,96.861,1000,1000
3.68,6.2827,7.6861,15.954,20.001,98.217,1000,1000
3.69,6.3357,7.7431,16.088,20.205,99.59,1000,1000
3.7,6.3891,7.8102,16.223,20.411,100.98,1000,1000
3.71,6.443,7.8779,16.359,20.62,102.39,1000,1000
3.72,6.4973,7.9363,16.496,20.83,103.81,1000,1000
3.73,6.552,8.005,16.634,21.043,105.26,1000,1000
3.74,6.6072,8.0643,16.773,21.257,106.72,1000,1000
3.75,6.6628,8.134,16.913,21.474,108.2,1000,1000
3.76,6.7189,8.2042,17.055,21.692,109.7,1000,1000
3.77,6.7754,8.2649,17.197,21.913,111.22,1000,1000
3.78,6.8324,8.3362,17.341,22.135,112.76,1000,1000
3.79,6.8899,8.4081,17.486,22.36,114.31,1000,1000
3.8,6.9478,8.4702,17.632,22.587,115.89,1000,1000
3.81,7.0061,8.5432,17.779,22.816,117.48,1000,1000
3.82,7.065,8.6167,17.927,23.047,119.1,1000,1000
3.83,7.1243,8.6802,18.076,23.28,120.74,1000,1000
3.84,7.1841,8.7549,18.227,23.515,122.39,1000,1000
3.85,7.2443,8.8301,18.378,23.753,124.07,1000,1000
3.86,7.305,8.8951,18.531,23.993,125.77,1000,1000
3.87,7.3663,8.9714,18.685,24.235,127.48,1000,1000
3.88,7.428,9.0484,18.84,24.479,129.22,1000,1000
3.89,7.4901,9.1148,18.997,24.726,130.98,1000,1000
3.9,7.5528,9.1929,19.154,24.974,132.77,1000,1000
3.91,7.616,9.2717,19.313,25.226,134.57,1000,1000
3.92,7.6797,9.3395,19.473,25.479,136.4,1000,1000
3.93,7.7438,9.4194,19.635,25.735,138.25,1000,1000
3.94,7.8085,9.4999,19.797,25.993,140.12,1000,1000
3.95,7.8737,9.5693,19.961,26.253,142.01,1000,1000
3.96,7.9394,9.651,20.126,26.516,143.93,1000,1000
3.97,8.0056,9.7334,20.292,26.781,145.87,1000,1000
3.98,8.0723,9.8043,20.46,27.049,147.83,1000,1000
3.99,8.1395,9.8878,20.628,27.319,149.82,1000,1000
4,8.2073,9.972,20.799,27.591,151.84,1000,1000
4.01,8.2756,10.045,20.97,27.866,153.87,1000,1000
4.02,8.3444,10.13,21.143,28.144,155.93,1000,1000
4.03,8.4138,10.216,21.317,28.424,158.02,1000,1000
4.04,8.4836,10.303,21.492,28.706,160.13,1000,1000
4.05,8.5541,10.377,21.669,28.991,162.27,1000,1000
4.06,8.625,10.465,21.847,29.279,164.43,1000,1000
4.07,8.6966,10.554,22.026,29.569,166.62,1000,1000
4.08,8.7686,10.63,22.206,29.862,168.83,1000,1000
4.09,8.8412,10.72,22.388,30.157,171.07,1000,1000
4.1,8.9144,10.811,22.572,30.455,173.34,1000,1000
4.11,8.9881,10.902,22.757,30.756,175.63,1000,1000
4.12,9.0624,10.981,22.943,31.059,177.96,1000,1000
